salary	age	gender	degree	yrExp	iq
110000	50	F	BA	28	84
78000	26	F	BA	2	134
133000	41	F	MA	18	92
121000	30	F	MA	7	84
80000	30	F	BA	7	98
80000	36	F	BA	14	101
107000	38	F	BA	16	113
134000	49	F	BA	28	91
90000	44	M	BA	21	104
111000	52	F	BA	30	106
55000	22	M	BA	1	115
63000	25	M	BA	1	85
147000	46	M	MA	21	121
75000	33	F	BA	11	83
56000	25	M	BA	2	98
1.00E+05	43	F	BA	21	114
101000	49	M	BA	26	123
165000	49	F	MA	26	112
106000	27	M	PhD	1	108
174000	53	F	MA	29	102
84000	26	F	BA	3	107
127000	37	M	MA	14	84
102000	48	M	BA	25	106
148000	47	M	MA	22	110
108000	49	F	BA	26	95
109000	40	F	BA	17	72
104000	52	M	BA	30	73
111000	50	M	BA	30	102
90000	36	F	BA	14	105
94000	35	F	BA	14	72
95000	27	M	MA	4	110
107000	52	F	BA	29	112
95000	35	F	BA	11	102
78000	31	M	BA	9	91
78000	30	M	BA	7	112
81000	26	F	MA	0	122
123000	38	F	MA	14	106
87000	42	M	BA	20	101
17500	48	M	MA	24	106
80000	36	M	BA	14	111
88000	41	M	BA	18	105
94000	44	F	BA	23	93
79000	30	M	BA	6	129
71000	34	F	BA	10	84
108000	52	M	BA	30	113
143000	40	M	MA	17	82
60000	24	M	BA	1	97
82000	38	M	BA	16	88
123000	32	M	PhD	5	112
213000	52	F	PhD	21	89
171000	53	M	MA	28	82
79000	28	M	BA	6	99
177000	53	F	MA	27	128
89000	39	F	BA	17	115
147000	42	F	MA	19	111
93000	40	F	BA	18	129
214000	49	F	PhD	21	111
104000	47	M	BA	25	106
72000	32	F	BA	11	120
102000	24	F	PhD	1	90
98000	48	M	BA	25	90
1.00E+05	38	F	BA	15	86
66000	25	M	BA	3	123
92000	37	M	BA	14	128
111000	49	F	BA	25	109
97000	45	M	BA	22	102
97000	41	F	BA	20	98
78000	28	F	BA	7	96
102000	47	M	BA	25	98
103000	38	M	BA	17	106
77000	29	F	BA	8	108
92000	46	M	BA	23	109
158000	39	M	PhD	9	111
82000	35	F	BA	12	101
85000	41	F	BA	18	123
114000	33	F	MA	8	115
79000	24	M	MA	1	97
166000	46	F	MA	22	100
98000	42	F	BA	20	133
89000	25	F	MA	3	85
84000	30	F	BA	9	99
76000	27	M	BA	4	98
92000	45	F	BA	23	101
138000	43	M	MA	18	98
72000	23	M	BA	1	116
177000	54	M	MA	30	95
102000	29	M	MA	6	132
133000	44	M	MA	18	129
157000	40	F	PhD	9	148
96000	43	M	BA	19	115
133000	38	M	MA	13	115
112000	30	F	MA	8	106
60000	25	F	BA	4	87
131000	40	F	MA	17	116
118000	50	M	BA	27	115
88000	42	M	BA	19	116
112000	51	F	BA	28	110
110000	47	M	BA	26	67
80000	35	F	BA	12	119
76000	31	F	BA	8	73
